Name,Brand,SKU,MPN,base_price,MSRP,Image
"Montague RB-96-SC 96""W Four Drawer Legend Heavy Duty Extreme Cuisine Refrigerated Equipment Base/Stand",Montague,RB-96-SC,RB-96-SC,19001.19,,
"Garland GN17R63 63""W Four Drawer Arctic Fire Refrigerator Base",Garland,GN17R63,GN17R63,14498.00,,
"Beverage Air WTRCS84HC 84""W Four Drawer Worktop Cook Stand Refrigerator",Beverage Air,WTRCS84HC,WTRCS84HC,9097.48,,
"Infrico USA IUC-MSG48 48.63""W Two Drawer Refrigerated Equipment Stand",Infrico USA,IUC-MSG48,IUC-MSG48,7466.68,,
"Beverage Air WTFCS36HC Worktop Cook Stand Freezer one-Section 36""",Beverage Air,WTFCS36HC,WTFCS36HC,7628.76,,
Beverage Air WTCTCS72HC 8.7 Cu. Ft. Stainless Steel 1-Section 4 Drawers Cross Temp Chef Base - 115 Volts,Beverage Air,WTCTCS72HC,WTCTCS72HC,11660.76,,
Delfield F2987CP Three-Section Six Drawer Refrigerated Low-Profile Equipment Stand,Delfield,F2987CP,F2987CP,15281.00,,
"Migali C-CB52-HC 52""W One-Section Two Drawer Competitor Series Refrigerated Equipment Stand/Chef Base",Migali,C-CB52-HC,C-CB52-HC,2550.00,,
"Randell FX-1CSRE-290 38""W FX Series Flexible Refrigerator or Freezer Chef Stand",Randell,FX-1CSRE-290,FX-1CSRE-290,10842.00,,
"Randell RES1L3-120C4 120"" W Stainless Steel Exterior Three Sections Refrigerated Counter and Equipment Stand - 115 Volts",Randell,RES1L3-120C4,RES1L3-120C4,17502.50,,
"Vulcan ARS48 48"" W Stainless Steel Self-Contained Achiever Refrigerated Base - 115 Volts",Vulcan,ARS48,ARS48,15938.00,,
"Victory CBF48HC 48"" W 2 Drawers Chef Base Freezer - 115 Volts",Victory,CBF48HC,CBF48HC,8613.60,,
Everest Refrigeration ECB72D4 Two-Section Four Drawers Chef Base Refrigerator,Everest Refrigeration,ECB72D4,ECB72D4,5383.00,,
Turbo Air PRCBE-84R-N-FT 14.75 Cu. Ft. Stainless Steel 4 Drawers PRO Series Refrigerated Chef Base - 115 Volts,Turbo Air,PRCBE-84R-N-FT,PRCBE-84R-N-FT,8819.46,,
"Victory CBR52HC 52"" W 2 Drawers Chef Base Refrigerator - 115 Volts",Victory,CBR52HC,CBR52HC,8546.26,,
"Jade JFLH-02R-T-36 36"" W 2 Drawers Titan Fire and Ice Freezer Base - 115 Volts",Jade,JFLH-02R-T-36,JFLH-02R-T-36,11222.20,,
"Dukers DCB48 48""W 2 Drawer Refrigerated Chef Base",Dukers,DCB48,DCB48-D2,2153.00,,
"U-Line UCFB548-SS61A 48"" W 2 Drawers U-Line Commercial Freezer Base - 115 Volts",U-Line,UCFB548-SS61A,UCFB548-SS61A,7295.63,,
"Garland GN17FR34 35""W Two Drawer Arctic Fire Freezer Base",Garland,GN17FR34,GN17FR34,12867.00,,
"Hoshizaki CR36A 36.5""W Two Drawer Steelheart Series Refrigerated Equipment Stand",Hoshizaki,CR36A,CR36A,7331.35,,
"Universal Coolers CBI-36 36.38"" W 2 Drawers Chef Base Refrigerator - 115 Volts",Universal Coolers,CBI-36,CBI-36,1980.00,,
"Vulcan VSC36 36"" W Stainless Steel Self-Contained Refrigerated Base - 115 Volts",Vulcan,VSC36,VSC36,14653.00,,
"Southbend 20060RSB 60""W Two Drawer Refrigerator Base",Southbend,20060RSB,20060RSB,13540.50,,
"Jade JRLH-02R-B-36 36"" W 2 Drawers Bistro Fire and Ice Refrigerated Base - 115 Volts",Jade,JRLH-02R-B-36,JRLH-02R-B-36,10264.10,,
"Montague RB-48-SC 48""W Two Drawer Legend Heavy Duty Extreme Cuisine Refrigerated Equipment Base/Stand",Montague,RB-48-SC,RB-48-SC,13528.00,,
"True TRCB-82-86 86.25""W Four Drawer Refrigerated Chef Base",,TRCB-82-86,TRCB-82-86-HC,7966.90,,
"Continental Refrigerator D48GN 48""W One-Section Two Drawers Refrigerator Griddle Stand",Continental Refrigerator,D48GN,D48GN,7073.84,,
"Continental Refrigerator D108GN 108""W Six Drawer Refrigerator Griddle Stand",Continental Refrigerator,D108GN,D108GN,11901.60,,
"U-Line UCRB560-SS61A 60"" W 2 Drawers U-Line Commercial Refrigerated Base - 115 Volts",U-Line,UCRB560-SS61A,UCRB560-SS61A,7443.03,,
"Traulsen TE084HT 84""W Four Drawer Spec-Line Refrigerated Equipment Stand",Traulsen,TE084HT,TE084HT,13605.08,,
Randell LPRES1L2-82C4 82” W Two-Section Stainless Steel Refrigerated Counter or Equipment Stand – 115 Volts,Randell,LPRES1L2-82C4,LPRES1L2-82C4,13408.50,,
"True TRCB-82 82.38"" W 4 Drawers Refrigerated Chef Base",,TRCB-82,TRCB-82-HC,7669.23,,
"Garland UN17C54 54""W Two Drawer Polar Cuisine Refrigerated Base",Garland,UN17C54,UN17C54,15809.00,,
"Garland GN17FC63 63""W Four Drawer Arctic Fire Freezer Base",Garland,GN17FC63,GN17FC63,17822.00,,
"True TRCB-48 48.38""W Two Drawer Refrigerated Chef Base",,TRCB-48,TRCB-48-HC,5485.53,,
"U-Line UCRB572-SS61A 72"" W 4 Drawers U-Line Commercial Refrigerated Base - 115 Volts",U-Line,UCRB572-SS61A,UCRB572-SS61A,9312.33,,
"Traulsen TE096HT 96""W Six Drawer Spec-Line Refrigerated Equipment Stand",Traulsen,TE096HT,TE096HT,14992.56,,
"Randell LPRES1R1-38C4 38"" W Stainless Steel Exterior Refrigerated Counter and Equipment Stand - 115 Volts",Randell,LPRES1R1-38C4,LPRES1R1-38C4,10296.00,,
"Infrico USA IUC-MSG72 72.63""W Four Drawer Refrigerated Equipment Stand",Infrico USA,IUC-MSG72,IUC-MSG72,9692.90,,
"Master Bilt MBCB36 36""W Two Drawer FusionChef Base",Master Bilt,MBCB36,MBCB36,4866.00,,
"Beverage Air WTFCS48HC Worktop Cook Stand Freezer one-Section 48""",Beverage Air,WTFCS48HC,WTFCS48HC,7961.53,,
"Southbend 20048RSB 48""W Two Drawer Refrigerator Base",Southbend,20048RSB,20048RSB,12393.00,,
"Traulsen TBC1HR-3 48.5""W Roll-Thru Spec-Line Roll-thru Blast Chiller with EPICON Control",Traulsen,TBC1HR-3,TBC1HR-3,90793.40,,
"American Panel AP36BCF-3T 58"" W Roll-In HURRiCHiLL Modular Blast Chiller/Shock Freezer - 208 Volts",American Panel,AP36BCF-3T,AP36BCF-3T,89019.68,,
"Traulsen TBC2H-8-LP 48.5""W Roll-In Spec-Line Roll-In Blast Chiller with EPICON Control",Traulsen,TBC2H-8-LP,TBC2H-8-LP,165383.95,,
"American Panel AP26BC-1T 55"" W Roll-In HURRiCHiLL Modular Blast Chiller - 208 Volts",American Panel,AP26BC-1T,AP26BC-1T,37774.56,,
"Traulsen TBC5-51-LP 54""W Spec-Line Undercounter Blast Chiller with EPICON Control",Traulsen,TBC5-51-LP,TBC5-51-LP,34910.87,,
"American Panel AP20BC-2T 51"" W Roll-In HURRiCHiLL Modular Blast Chiller - 208 Volts",American Panel,AP20BC-2T,AP20BC-2T,56851.95,,
"American Panel AP20BCF-1T 49"" W Roll-In HURRiCHiLL Modular Blast Chiller/Shock Freezer - 208 Volts",American Panel,AP20BCF-1T,AP20BCF-1T,35896.96,,
"Traulsen TBC13-36 41""W Reach-In Spec-Line Reach-in Blast Chiller with EPICON Control",Traulsen,TBC13-36,TBC13-36,52072.52,,
"Traulsen TBC1H-33-LP 48.5""W Roll-In Spec-Line Roll-In Blast Chiller with EPICON Control",Traulsen,TBC1H-33-LP,TBC1H-33-LP,85300.38,,
"Piper Products RCMC83T 59.06""W Roll-Thru Shock Freezer/Blast Chiller",Piper Products,RCMC83T,RCMC83T,111862.13,,
"Piper Products RDMC82T 62.99""W Roll-Thru Shock Freezer/Blast Chiller",Piper Products,RDMC82T,RDMC82T,77641.66,,
"Traulsen TBC5-62 54""W Spec-Line Undercounter Blast Chiller with EPICON Control",Traulsen,TBC5-62,TBC5-62,33909.48,,
"U-Line UCBF632-SS12A 31.5"" W Stainless Steel Reach-In U-Line Commercial Blast Chiller and Freezer - 230 Volts",U-Line,UCBF632-SS12A,UCBF632-SS12A,21271.83,,
